Discrete Score,Genre,IMDB Score (bin),Language,Premiere,Runtime (bin),Simplified Genre,Title,IMDB Score,percent of good,Premiere Month,Premiere Year,Runtime
low,Documentary,2.0,English/Japanese,8/5/2019,47,documentary,Enter the Anime,2.5,1,8,2019,58
low,Thriller,2.5,Spanish,8/21/2020,70,thriller,Dark Forces,2.6,1,8,2020,81
low,Science fiction/Drama,2.5,Italian,12/26/2019,70,drama,The App,2.6,1,12,2019,79
low,Horror thriller,3.0,English,1/19/2018,94,thriller,The Open House,3.2,1,1,2018,94
low,Mystery,3.0,Hindi,10/30/2020,82,other,Kaali Khuhi,3.4,1,10,2020,90
low,Action,3.0,Hindi,11/1/2019,140,action,Drive,3.5,1,11,2019,147
low,Comedy,3.5,Turkish,12/4/2020,105,comedy,Leyla Everlasting,3.7,1,12,2020,112
low,Heist film/Thriller,3.5,English,6/5/2020,140,thriller,The Last Days of American Crime,3.7,1,6,2020,149
low,Musical/Western/Fantasy,3.5,English,3/23/2018,70,western,Paradox,3.9,1,3,2018,73
low,Comedy,4.0,Hindi,5/18/2021,129,comedy,Sardar Ka Grandson,4.1,1,5,2021,139
low,Documentary,4.0,English,4/22/2021,47,documentary,Searching for Sheela,4.1,1,4,2021,58
low,Drama,4.0,Korean,11/27/2020,105,drama,The Call,4.1,1,11,2020,112
low,Romantic comedy,4.0,Indonesian,9/18/2020,94,romantic,Whipped,4.1,1,9,2020,97
low,Action comedy,4.0,Malay,10/1/2020,94,comedy,All Because of You,4.2,1,10,2020,101
low,Thriller,4.0,English,11/22/2016,82,thriller,Mercy,4.2,1,11,2016,90
low,Documentary,4.0,Spanish,12/19/2019,23,documentary,After the Raid,4.3,1,12,2019,25
low,Horror anthology,4.0,Hindi,1/1/2020,140,horror,Ghost Stories,4.3,1,1,2020,144
low,Political thriller,4.0,English,2/21/2020,105,thriller,The Last Thing He Wanted,4.3,1,2,2020,115
low,Comedy,4.0,Korean,1/1/2021,94,comedy,What Happened to Mr. Cha?,4.3,1,1,2021,102
low,Horror thriller,4.0,English,8/25/2017,94,thriller,Death Note,4.4,1,8,2017,100
low,Documentary,4.0,English,9/13/2019,58,documentary,"Hello Privilege. It's Me, Chelsea",4.4,1,9,2019,64
low,Thriller,4.0,English,7/18/2019,94,thriller,Secret Obsession,4.4,1,7,2019,97
low,Comedy,4.0,English,8/16/2019,94,comedy,Sextuplets,4.4,1,8,2019,99
low,Thriller,4.0,Hindi,2/26/2021,117,thriller,The Girl on the Train,4.4,1,2,2021,120
low,Superhero-Comedy,4.0,English,4/9/2021,94,comedy,Thunder Force,4.4,1,4,2021,105
low,Thriller,4.0,English,7/16/2020,82,thriller,Fatal Affair,4.5,1,7,2020,89
low,Romantic comedy,4.0,Dutch,4/2/2021,94,romantic,Just Say Yes,4.5,1,4,2021,97
low,Comedy,4.0,English,7/31/2020,105,comedy,Seriously Single,4.5,1,7,2020,107
low,Comedy,4.0,French,2/10/2021,94,comedy,The Misadventures of Hedi and Cokeman,4.5,1,2,2021,99
low,Comedy,4.5,Italian,12/7/2018,94,comedy,5 Star Christmas,4.6,1,12,2018,95
low,Documentary,4.5,English/Spanish,5/24/2019,35,documentary,After Maria,4.6,1,5,2019,37
low,Horror,4.5,English,10/28/2016,82,horror,I Am the Pretty Thing That Lives in the House,4.6,1,10,2016,89
low,Romance drama,4.5,French,2/22/2019,82,drama,Paris Is Us,4.6,1,2,2019,83
low,Comedy,4.5,Portuguese,12/3/2019,35,comedy,Porta dos Fundos: The First Temptation of Christ,4.6,1,12,2019,46
low,Horror,4.5,English,10/25/2019,82,horror,Rattlesnake,4.6,1,10,2019,85
low,Comedy,4.5,Italian,7/15/2020,82,comedy,The Players,4.6,1,7,2020,88
low,Documentary,4.5,French,7/14/2020,82,documentary,We Are One,4.6,1,7,2020,86
low,Drama,4.5,Filipino,11/30/2020,94,drama,Finding Agnes,4.7,1,11,2020,105
low,Science fiction/Drama,4.5,English,1/18/2019,94,drama,IO,4.7,1,1,2019,95
low,Action,4.5,French,3/5/2021,70,action,Sentinelle,4.7,1,3,2021,80
low,Anime / Short,4.5,English,4/2/2020,0,animation,Sol Levante,4.7,1,4,2020,4
low,Drama,4.5,Italian,10/2/2020,82,drama,The Binding,4.7,1,10,2020,93
low,Superhero,4.5,English,12/25/2020,94,other,We Can Be Heroes,4.7,1,12,2020,100
low,Thriller,4.5,German,12/4/2020,105,thriller,Christmas Crossfire,4.8,1,12,2020,106
low,Heist,4.5,English,1/6/2017,94,other,Coin Heist,4.8,1,1,2017,97
low,Thriller,4.5,Hindi,5/1/2020,105,thriller,Mrs. Serial Killer,4.8,1,5,2020,106
low,Horror,4.5,Polish,10/28/2020,94,horror,Nobody Sleeps in the Woods Tonight,4.8,1,10,2020,103
low,Comedy,4.5,English,1/20/2017,70,comedy,Take the 10,4.8,1,1,2017,80
low,Comedy,4.5,English,4/10/2020,94,comedy,The Main Event,4.8,1,4,2020,101
low,Western,4.5,English,12/11/2015,117,western,The Ridiculous 6,4.8,1,12,2015,119
low,Action,4.5,French,4/17/2020,70,action,Earth and Blood,4.9,1,4,2020,80
low,Animation/Superhero,4.5,English,8/14/2020,82,animation,Fearless,4.9,1,8,2020,89
low,Family film,4.5,English,11/28/2019,94,family,Holiday Rush,4.9,1,11,2019,94
low,Drama,4.5,Spanish,10/30/2020,82,drama,The Day of the Lord,4.9,1,10,2020,93
low,Comedy,4.5,Portuguese,1/23/2020,94,comedy,Airplane Mode,5,1,1,2020,96
low,Action-thriller,4.5,English,7/13/2018,105,thriller,How It Ends,5,1,7,2018,113
low,Drama,4.5,Indonesian,10/15/2020,82,drama,Love Like the Falling Rain,5,1,10,2020,86
low,Thriller,4.5,English,7/15/2016,94,thriller,Rebirth,5,1,7,2016,100
low,Romantic comedy,4.5,Polish,2/11/2021,94,romantic,Squared Love,5,1,2,2021,102
average,Horror,5.0,Norwegian,10/22/2020,82,horror,Cadaver,5.1,1,10,2020,86
average,Thriller,5.0,English,1/13/2017,94,thriller,Clinical,5.1,1,1,2017,104
average,Action comedy,5.0,English,4/3/2020,82,comedy,Coffee & Kareem,5.1,1,4,2020,88
average,Teen comedy-drama,5.0,English,4/20/2018,94,drama,Dude,5.1,1,4,2018,97
average,Romantic drama,5.0,Indonesian,2/25/2021,94,drama,Geez & Ann,5.1,1,2,2021,105
average,Animation,5.0,English,7/23/2020,82,animation,The Larva Island Movie,5.1,1,7,2020,90
average,Comedy,5.0,English,9/8/2017,94,comedy,#REALITYHIGH,5.2,1,9,2017,99
average,Aftershow / Interview,5.0,English,8/21/2019,0,variety,American Factory: A Conversation with the Obamas,5.2,1,8,2019,10
average,Romantic comedy,5.0,English,7/3/2020,105,romantic,Desperados,5.2,1,7,2020,106
average,Christmas musical,5.0,English,11/22/2020,94,musical,Dolly Parton's Christmas on the Square,5.2,1,11,2020,98
average,Comedy,5.0,English,7/20/2018,94,comedy,Father of the Year,5.2,1,7,2018,94
average,Drama,5.0,Marathi,2/22/2019,105,drama,Firebrand,5.2,1,2,2019,112
average,Horror,5.0,Thai,5/26/2021,117,horror,Ghost Lab,5.2,1,5,2021,117
average,Comedy,5.0,English,2/14/2017,58,comedy,Girlfriend's Day,5.2,1,2,2017,70
average,Comedy,5.0,English,5/5/2017,70,comedy,Handsome: A Netflix Mystery Movie,5.2,1,5,2017,81
average,Comedy,5.0,English,10/7/2020,94,comedy,Hubie Halloween,5.2,1,10,2020,103
average,Comedy,5.0,English,5/25/2018,94,comedy,Ibiza,5.2,1,5,2018,94
average,Science fiction adventure,5.0,English,5/24/2019,94,science fiction,Rim of the World,5.2,1,5,2019,98
average,Comedy,5.0,English,4/14/2017,129,comedy,Sandy Wexler,5.2,1,4,2017,131
average,Science fiction,5.0,English,5/17/2019,82,science fiction,See You Yesterday,5.2,1,5,2019,87
average,Variety show,5.0,English,5/14/2019,58,variety,Still Laugh-In: The Stars Celebrate,5.2,1,5,2019,60
average,Documentary,5.0,English,2/5/2021,105,documentary,"Strip Down, Rise Up",5.2,1,2,2021,112
average,Comedy-drama,5.0,English,9/13/2019,94,drama,Tall Girl,5.2,1,9,2019,102
average,Drama,5.0,Italian,11/27/2020,94,drama,The Beast,5.2,1,11,2020,99
average,Comedy,5.0,English,4/27/2018,105,comedy,The Week Of,5.2,1,4,2018,116
